"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"LCSC_PART_NUMBER";"LCSC_PRICE_STOCK";"MANUFACTURER_DATASHEET";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_PRICE_STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"R6";"CRCW010022R0FREL";"CRCW010022R0FREL";"RESC0402X15N";"Thick Film Resistors - SMD 01005 22ohms 1% 250ppm 0.031watts";"";"";"Thick Film Resistors - SMD 01005 22ohms 1% 250ppm 0.031watts";"0.15mm";"";"";"";"Vishay";"CRCW010022R0FREL";"71-CRCW010022R0FREL";"https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW010022R0FREL?qs=r5DSvlrkXmLaYxJsk%2FhTNw%3D%3D";"";"";"";"";"";
"R7";"8.06k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"Resistores de película gruesa - SMD 8.06K ohm 1%";"";"";"";"https://www.mouser.pe/datasheet/2/54/cr-1858361.pdf";"BOURNS";"CR0603-FX-8061ELF";"652-CR0603FX-8061ELF";"";"https://www.mouser.pe/ProductDetail/Bourns/CR0603-FX-8061ELF?qs=sGAEpiMZZMtlubZbdhIBIK5e%2F64Ir72eATWhi%2FoKPo4%3D";"";"";"77";"R";
"R8";"6.19k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"Resistores de película gruesa - SMD 6.19K ohm 1%";"";"";"";"https://www.mouser.pe/datasheet/2/54/cr-1858361.pdf";"BOURNS";"CR0603-FX-6191ELF";"652-CR0603FX-6191ELF";"";"https://www.mouser.pe/ProductDetail/Bourns/CR0603-FX-6191ELF?qs=sGAEpiMZZMtlubZbdhIBIMinHFTiNSf6NP1ArTMWwDo%3D";"";"";"77";"R";
"R9";"6.19k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"Resistores de película gruesa - SMD 6.19K ohm 1%";"";"";"";"https://www.mouser.pe/datasheet/2/54/cr-1858361.pdf";"BOURNS";"CR0603-FX-6191ELF";"652-CR0603FX-6191ELF";"";"https://www.mouser.pe/ProductDetail/Bourns/CR0603-FX-6191ELF?qs=sGAEpiMZZMtlubZbdhIBIMinHFTiNSf6NP1ArTMWwDo%3D";"";"";"77";"R";
"R10";"8.06k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"Resistores de película gruesa - SMD 8.06K ohm 1%";"";"";"";"https://www.mouser.pe/datasheet/2/54/cr-1858361.pdf";"BOURNS";"CR0603-FX-8061ELF";"652-CR0603FX-8061ELF";"";"https://www.mouser.pe/ProductDetail/Bourns/CR0603-FX-8061ELF?qs=sGAEpiMZZMtlubZbdhIBIK5e%2F64Ir72eATWhi%2FoKPo4%3D";"";"";"77";"R";
"R11";"6.19k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"Resistores de película gruesa - SMD 6.19K ohm 1%";"";"";"";"https://www.mouser.pe/datasheet/2/54/cr-1858361.pdf";"BOURNS";"CR0603-FX-6191ELF";"652-CR0603FX-6191ELF";"";"https://www.mouser.pe/ProductDetail/Bourns/CR0603-FX-6191ELF?qs=sGAEpiMZZMtlubZbdhIBIMinHFTiNSf6NP1ArTMWwDo%3D";"";"";"77";"R";
"R12";"CRCW010022R0FREL";"CRCW010022R0FREL";"RESC0402X15N";"Thick Film Resistors - SMD 01005 22ohms 1% 250ppm 0.031watts";"";"";"Thick Film Resistors - SMD 01005 22ohms 1% 250ppm 0.031watts";"0.15mm";"";"";"";"Vishay";"CRCW010022R0FREL";"71-CRCW010022R0FREL";"https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW010022R0FREL?qs=r5DSvlrkXmLaYxJsk%2FhTNw%3D%3D";"";"";"";"";"";
"R13";"8.06k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"Resistores de película gruesa - SMD 8.06K ohm 1%";"";"";"";"https://www.mouser.pe/datasheet/2/54/cr-1858361.pdf";"BOURNS";"CR0603-FX-8061ELF";"652-CR0603FX-8061ELF";"";"https://www.mouser.pe/ProductDetail/Bourns/CR0603-FX-8061ELF?qs=sGAEpiMZZMtlubZbdhIBIK5e%2F64Ir72eATWhi%2FoKPo4%3D";"";"";"77";"R";
"R14";"6.19k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"Resistores de película gruesa - SMD 6.19K ohm 1%";"";"";"";"https://www.mouser.pe/datasheet/2/54/cr-1858361.pdf";"BOURNS";"CR0603-FX-6191ELF";"652-CR0603FX-6191ELF";"";"https://www.mouser.pe/ProductDetail/Bourns/CR0603-FX-6191ELF?qs=sGAEpiMZZMtlubZbdhIBIMinHFTiNSf6NP1ArTMWwDo%3D";"";"";"77";"R";
"R15";"8.06k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"Resistores de película gruesa - SMD 8.06K ohm 1%";"";"";"";"https://www.mouser.pe/datasheet/2/54/cr-1858361.pdf";"BOURNS";"CR0603-FX-8061ELF";"652-CR0603FX-8061ELF";"";"https://www.mouser.pe/ProductDetail/Bourns/CR0603-FX-8061ELF?qs=sGAEpiMZZMtlubZbdhIBIK5e%2F64Ir72eATWhi%2FoKPo4%3D";"";"";"77";"R";
"RV1";"CG0603MLC-05E";"CG0603MLC-05E";"VARC1608X55N";"Varistor, ESD Protector, 5VDC,20V,0603 Bourns MLC Series Power Varistor 0.5pF 20V 0603 Case";"";"";"Varistor, ESD Protector, 5VDC,20V,0603 Bourns MLC Series Power Varistor 0.5pF 20V 0603 Case";"0.55mm";"";"";"";"Bourns";"CG0603MLC-05E";"652-CG0603MLC-05E";"https://www.mouser.co.uk/ProductDetail/Bourns/CG0603MLC-05E?qs=lDok7oSghXVLNKMK69q%252BFQ%3D%3D";"";"";"";"";"";
"RV2";"CG0603MLC-05E";"CG0603MLC-05E";"VARC1608X55N";"Varistor, ESD Protector, 5VDC,20V,0603 Bourns MLC Series Power Varistor 0.5pF 20V 0603 Case";"";"";"Varistor, ESD Protector, 5VDC,20V,0603 Bourns MLC Series Power Varistor 0.5pF 20V 0603 Case";"0.55mm";"";"";"";"Bourns";"CG0603MLC-05E";"652-CG0603MLC-05E";"https://www.mouser.co.uk/ProductDetail/Bourns/CG0603MLC-05E?qs=lDok7oSghXVLNKMK69q%252BFQ%3D%3D";"";"";"";"";"";
"S1";"EVQ-P2F02K";"EVQ-P2F02K";"EVQP2V02W";"Tactile Switches Light Touch Switch 4.7x3.5mm SMD midd";"";"";"Tactile Switches Light Touch Switch 4.7x3.5mm SMD midd";"2.5mm";"";"";"";"Panasonic";"EVQ-P2F02K";"667-EVQ-P2F02K";"https://www.mouser.co.uk/ProductDetail/Panasonic/EVQ-P2F02K?qs=WwqriLBepZsV0QucKJ89rg%3D%3D";"";"";"";"";"";
"SW_PROG";"DS04-254-2-05BK-SMT";"DS04-254-2-05BK-SMT";"DS04254205BKSMT";"DIP SWITCH, SPST, 2.54 PITCH, FL";"";"";"DIP SWITCH, SPST, 2.54 PITCH, FL";"4.3mm";"";"";"";"CUI Devices";"DS04-254-2-05BK-SMT";"490-DS04254205BK-SMT";"https://www.mouser.co.uk/ProductDetail/CUI-Devices/DS04-254-2-05BK-SMT?qs=wnTfsH77Xs6N9X5hXMPSow%3D%3D";"";"";"";"";"";
"TO_PICKIT3";"";"PINHD-1X5/90";"1X05/90";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9";"";
"TTL-UART";"";"PINHD-1X3/90";"1X03/90";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17";"";
"XTAL";"16MHz";"LFXTAL003237REEL";"LFXTAL020423CUTT";"IQD FREQUENCY PRODUCTS - LFXTAL003237REEL - CRYSTAL, SMD, 16MHZ";"";"";"IQD FREQUENCY PRODUCTS - LFXTAL003237REEL - CRYSTAL, SMD, 16MHZ";"4.3mm";"";"";"";"IQD";"LFXTAL003237REEL";"449-LFXTAL003237REEL";"https://www.mouser.co.uk/ProductDetail/IQD/LFXTAL003237Reel?qs=e4%2FAndAAwgJlj%2FXdUQKNpg%3D%3D";"";"";"";"";"";
"Y1";"AB26T-32.768KHZ-E";"AB26T-32.768KHZ-E";"AB26T32768KHZE";"Crystals CRYSTAL 32.7680KHZ 12.5PF T/H";"";"";"Crystals CRYSTAL 32.7680KHZ 12.5PF T/H";"8.2mm";"";"";"";"ABRACON";"AB26T-32.768KHZ-E";"815-AB26T32.768KHZE";"https://www.mouser.co.uk/ProductDetail/ABRACON/AB26T-32.768KHZ-E?qs=wnTfsH77Xs4HTj7FfHFZLQ%3D%3D";"";"";"";"";"";
